URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,141,45,1,0.1024229074,12.22439024,59.58718088,28.72462845,12.22439024,1097,1841,2.926127105,16,7.839760999
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,13,6,1,0.05277777763,8.24137931,51.21293801,23.78172693,8.24137931,190,371,2.760107817,5,7.447439353
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,17,3,1,0.05235602081,15.80555556,41.54228856,22.93913765,15.80555556,167,402,2.554726368,5,7.126865672
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,23,10,1,0.07534246558,12.86666667,44.75982533,23.0505968,12.86666667,205,458,2.593886463,11,7.253275109
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,8,4,1,0.04615384598,9.942857143,43.06569343,21.20342023,9.942857143,118,274,2.481751825,4,7.098540146
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,8,4,1,0.0452830187,12.77419355,41.63701068,21.76448169,12.77419355,117,281,2.558718861,5,7.202846975
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,8,15,-1,0.07491856653,14.05555556,42.90123457,22.78271605,14.05555556,139,324,2.438271605,6,6.75617284
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,30,11,1,0.0845360823,18.825,47.49034749,26.526139,18.825,246,518,2.598455598,18,7.216216216
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,19,8,1,0.06026785701,12.68965517,43.57894737,22.50744102,12.68965517,207,475,2.528421053,9,6.907368421
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,21,6,1,0.07458563515,8.672413793,48.40425532,22.83066764,8.672413793,182,376,2.811170213,3,7.768617021
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,10,11,-1,0.0617647057,7.827586207,50,23.13103448,7.827586207,173,346,2.679190751,5,7.309248555
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,23,9,1,0.06751054838,19.45238095,49.32821497,27.51223837,19.45238095,257,521,2.635316699,43,7.088291747
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,19,4,1,0.04946236549,14.39285714,41.26984127,22.26507937,14.39285714,208,504,2.452380952,20,6.956349206
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,26,9,1,0.07014028042,18.84210526,51.45631068,28.11936638,18.84210526,265,515,2.784466019,14,7.582524272
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,31,10,1,0.1105121291,7.405797101,51.84210526,23.69916095,7.405797101,197,380,2.8,3,7.489473684
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,17,4,1,0.05555555541,22.10714286,44.91315136,26.80811769,22.10714286,181,403,2.53101737,16,6.784119107
bctech2033,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,10,11,-1,0.05198019789,13.45238095,51.78997613,26.09694283,13.45238095,217,419,2.747016706,15,7.408114558
bctech2034,https://insights.blackcoffer.com/design-and-develop-a-product-recommendation-engine-based-on-the-features-of-products/,33,27,1,0.100334448,19.1875,44.85981308,25.61892523,19.1875,288,642,2.526479751,21,7.056074766
bctech2036,https://insights.blackcoffer.com/automate-the-data-management-process/,38,11,1,0.0979999998,14.98333333,37.71929825,21.08105263,14.98333333,215,570,2.414035088,18,6.750877193
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,35,6,1,0.08506224049,17.82978723,40.95238095,23.51286727,17.82978723,215,525,2.483809524,28,7.057142857
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,29,20,1,0.1035940801,19.26829268,43.12977099,24.95922547,19.26829268,226,524,2.561068702,14,7.030534351
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,26,5,1,0.04928457862,14.92647059,47.44186047,24.94733242,14.92647059,306,645,2.595348837,34,6.959689922
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,42,12,1,0.09782608678,18.41818182,48.63123994,26.8197687,18.41818182,302,621,2.587761675,37,7.178743961
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,27,13,1,0.0770712908,18.9,46.1406518,26.01626072,18.9,269,583,2.595197256,10,6.981132075
bctech2042,https://insights.blackcoffer.com/design-and-develop-retool-app-for-wholecell-io-and-asana-data-using-their-apis/,6,3,1,0.0629370625,32.75,37.42690058,28.07076023,32.75,64,171,2.409356725,12,6.409356725
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,3,2,1,0.01706484636,12.56410256,37.95379538,20.20715918,12.56410256,115,303,2.217821782,18,6.379537954
bctech2038,https://insights.blackcoffer.com/data-management-etl-and-data-automation/,12,1,1,0.05701754361,13.52941176,26.19047619,15.88795518,13.52941176,66,252,2.23015873,16,6.603174603
bctech2035,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,28,23,1,0.1143497755,15.51162791,54.91452991,28.17046313,15.51162791,257,468,2.833333333,11,7.583333333
bctech2045,https://insights.blackcoffer.com/ner-task-using-bert-with-data-in-xml-format/,7,6,1,0.05701754361,19,32.8125,20.725,19,84,256,2.234375,17,6.4765625
bctech2037,https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/,22,18,1,0.07561436659,24.11627907,36.9205298,24.41472355,24.11627907,223,604,2.281456954,15,6.321192053
bctech2046,https://insights.blackcoffer.com/qualtrics-api-integration-using-python/,6,2,1,0.04938271574,17.6,29.21348315,18.72539326,17.6,52,178,2.191011236,10,6.415730337
bctech2039,https://insights.blackcoffer.com/data-management-egeas/,7,1,1,0.05063291107,12.9047619,31.86813187,17.90915751,12.9047619,58,182,2.17032967,13,6.461538462
bctech2040,https://insights.blackcoffer.com/design-and-develop-powershell-script/,5,2,1,0.03240740726,127,37.60330579,65.84132231,127,91,242,2.190082645,15,6.644628099
bctech2041,https://insights.blackcoffer.com/design-and-develop-jenkins-shared-library/,5,4,1,0.07894736773,67,23.57142857,36.22857143,67,33,140,2.1,13,6.3
bctech2051,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,17,7,1,0.06138107401,30.57142857,41.23222749,28.72146242,30.57142857,174,422,2.466824645,28,6.862559242
bctech2050,https://insights.blackcoffer.com/plaid-financial-analytics-a-data-driven-dashboard-to-generate-insights/,10,7,1,0.08762886553,27.92307692,41.96428571,27.95494505,27.92307692,94,224,2.589285714,11,6.924107143
bctech2052,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,16,3,1,0.09499999953,19.63157895,34.69387755,21.7301826,19.63157895,85,245,2.26122449,21,6.208163265
bctech2044,https://insights.blackcoffer.com/crm-monday-com-make-com-to-data-warehouse-to-klipfolio-dashboard/,10,4,1,0.05204460947,7.012987013,44.12811388,20.45644036,7.012987013,124,281,2.476868327,11,6.782918149
bctech2043,https://insights.blackcoffer.com/design-and-develop-a-retool-app-that-will-show-stock-and-crypto-related-information-using-iex-api/,6,3,1,0.04326923056,34.55555556,23.20675105,23.10492264,34.55555556,55,237,2.012658228,6,5.814345992
bctech2054,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,13,4,1,0.08095238057,15.07407407,32.90598291,19.19202279,15.07407407,77,234,2.166666667,34,6.179487179
bctech2053,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,9,2,1,0.05069124401,13.22580645,39.83739837,21.22528193,13.22580645,98,246,2.37804878,24,6.630081301
bctech2055,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,20,8,1,0.1115537844,10.60869565,38.75432526,19.74520836,10.60869565,112,289,2.183391003,33,6.242214533
bctech2056,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,28,9,1,0.05666156193,15.14473684,35.68575233,20.33219567,15.14473684,268,751,2.30758988,31,6.629826897
bctech2057,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,12,9,1,0.07142857119,24.33333333,42.85714286,26.87619048,24.33333333,138,322,2.385093168,6,6.708074534
bctech2058,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,17,10,1,0.05908096267,50.84615385,42.70386266,37.4200066,50.84615385,199,466,2.418454936,8,6.770386266
bctech2060,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,11,4,1,0.07109004706,29.45454545,38.33333333,27.11515152,29.45454545,92,240,2.3625,5,6.454166667
bctech2048,https://insights.blackcoffer.com/nlp-based-approach-for-data-transformation/,6,3,1,0.06666666617,35.71428571,34,27.88571429,35.71428571,51,150,2.346666667,7,6.733333333
